dateTime,country,city,region,screenRed,surveyType,purposeProductInfo,purposeBuyFromSite,purposeComparePricing,purposeInfoAndResources,purposeInfoOnOrder,purposeOther,taskFindWhatLookingFor,concernShippingCost,concernDeliverySpeed,concernWarranties,concernEaseToReturnProduct,concernProductSafety,concernRightForMyChild,concernProductQuality,concernProductEffectiveness,concernOther,concernNone,intentWasPlanningToBuy,profile,whenSiteUsed,purchasedBefore,purchasedWhen,productKnewWhatWanted,productSiteHasWhatWanted,purchaseExpectInNextMonth,siteFirstHeardAbout,age,gender,behavNumVisits,behavReferral,behavPageviews,behavHomePage,behavDetailProdA,behavDetailProdB,behavDetailProdC,behavAnySolution,behavAnySale,behavCart,behavConversion
7/25/2014 14:10,United States,Monroe,LA,1280x1024,At Exit,Products,,,Resources,,,,,,,Ease of returning (if I am not satisfied with product),,,Product durability/quality,Product effectiveness/will it work,,,,Parent,In the past week,"Yes, once",In the past month,Yes,,5,In the past year,25-34,Female,13,Direct,4 to 6,1,1,0,0,0,0,0,0
7/25/2014 15:01,United States,Ambler,PA,1280x800,At Exit,,Buy from this site,Compare pricing,,,,,,,,,,,,,,,Yes,Parent,In the past year,"Yes, once",In the past year,Yes,,3,More than 1 year ago,35-44,Female,3,Unbranded Search,1,0,0,0,0,0,0,0,0
7/25/2014 15:15,United States,Beaumont,TX,768x1024,At Exit,,,Compare pricing,,,,,,,,,,,,,,,,Parent,Never. This is my first visit,,,Yes,,3,"Just now, from the website or survey",35-44,Female,2,Unbranded Search,10+,0,0,0,0,1,1,0,0
7/25/2014 17:05,United States,Cedar City,UT,1280x960,At Exit,Products,,,,,,Most or all of it,Shipping costs,,,,,,,,,,,Person with [condition A],Never. This is my first visit,,,Somewhat,"Yes, several of them",3,In the past hour,25-34,Female,1,Unbranded Search,10+,0,1,1,0,1,0,0,0
7/26/2014 0:27,United States,Bullhead City,AZ,1138x640,At Exit,,,,Resources,,,Most or all of it,,,,,,,,Product effectiveness/will it work,,,,Teacher,Never. This is my first visit,,,,,5,"Just now, from the website or survey",55-64,Female,1,Referred,1,0,0,0,0,0,0,0,0
7/26/2014 1:50,United States,Lake Arrowhead,CA,1366x768,At Exit,Products,,Compare pricing,,,,Most or all of it,,,,,,,,,,,,Person with [condition A],Never. This is my first visit,,,Somewhat,"Yes, several of them",3,In the past hour,18-24,Prefer not to answer,1,Social,10+,1,1,1,0,0,0,0,0
7/26/2014 5:07,Kuwait,Kuwait,2,768x1024,At Exit,,,,Resources,,,Some of it,,,,,,,,,,,,Health Professional,In the past week,No,,,,5,In the past week,55-64,Female,4,Direct,10+,0,1,1,1,1,1,0,0
7/26/2014 10:37,United States,New Bern,NC,768x1024,At Exit,Products,,,,,,Most or all of it,,,,,,,,,,,,Other,In the past week,"Yes, once",In the past month,,,,,,,1,Unbranded Search,4 to 6,1,0,1,0,0,0,0,0
7/26/2014 11:51,United States,Cleveland,TN,1920x1080,At Exit,,,,,,Other,Some of it,,,,,,,,,,None / no uncertainties,,Teacher,Never. This is my first visit,,,,,5,"Just now, from the website or survey",45-54,Female,2,Referred,10+,1,1,1,1,1,1,0,0
7/26/2014 15:47,India,Bhatinda,23,768x1024,At Exit,,Buy from this site,,,,,Most or all of it,,,,,,,,,,,Partially (I was considering it),Parent,Never. This is my first visit,,,Yes,"Yes, several of them",4,,,,2,Unbranded Search,7 to 9,1,1,0,0,0,1,0,0
7/26/2014 18:39,United States,Shirley,NY,768x1024,At Exit,,,Compare pricing,,,,Most or all of it,,,,,,,,,,,,Parent,In the past week,No,,Somewhat,"Yes, one of them",3,,,,1,Direct,1,0,0,0,0,0,0,0,0
7/26/2014 18:48,United States,Radcliff,KY,1366x768,At Exit,,,Compare pricing,,,,Some of it,,,,,,,,,,,,Parent,In the past week,No,,No,"Yes, several of them",4,In the past week,Less than 18,Male,3,Direct,2 to 3,0,0,1,0,0,0,0,0
7/26/2014 20:27,United States,Demotte,IN,1032x581,At Exit,,,,Resources,,,Most or all of it,,,,,,,,,,,,Relative,Never. This is my first visit,,,,,3,,,,1,Unbranded Search,1,1,0,0,0,0,0,0,0
7/26/2014 21:55,United States,Glen Lyon,PA,1366x768,At Exit,Products,,,,,,Most or all of it,,,,,,,,,,,,Person with [condition A],Never. This is my first visit,,,,,,,,,2,Referred,10+,0,1,1,0,0,0,0,0
7/27/2014 0:31,United States,Tahlequah,OK,1280x800,At Exit,Products,,,,,,None of it,,,,,,,,,,,,Friend/family friend,Never. This is my first visit,,,No,No,1,,,,1,Unbranded Search,2 to 3,0,1,0,0,0,0,0,0
7/27/2014 5:26,Australia,Perth,8,1477x831,At Exit,,,,Resources,,,Most or all of it,,,,,,,,,,,,Parent,Never. This is my first visit,,,,,5,"Just now, from the website or survey",Less than 18,Male,2,Unbranded Search,10+,0,0,0,1,0,0,0,0
7/27/2014 8:47,United States,Storrs Mansfield,CT,768x1024,At Exit,Products,Buy from this site,,Resources,,,Most or all of it,,,,Ease of returning (if I am not satisfied with product),,Whether this is right for my child,,,,,Partially (I was considering it),Teacher,Never. This is my first visit,,,Somewhat,"Yes, several of them",3,In the past hour,35-44,Female,1,Social,10+,0,0,0,1,0,0,0,0
7/27/2014 8:50,Australia,Perth,8,1366x768,At Exit,Products,,,,,,Most or all of it,,,,,,,,,,,,Teacher,Never. This is my first visit,,,,"Yes, one of them",4,"Just now, from the website or survey",45-54,Female,1,Social,10+,0,0,1,0,0,0,1,1
7/27/2014 14:33,Canada,Halifax,NS,1280x768,At Exit,Products,,,,,,Most or all of it,,,,,,,,,,None / no uncertainties,,Parent,In the past week,No,,Somewhat,"Yes, several of them",3,In the past hour,25-34,Male,1,Referred,1,1,0,0,0,0,0,0,0
7/27/2014 15:07,United States,Centreville,VA,768x1024,At Exit,Products,,,,,,None of it,,,,,,,,,,,,Parent,Never. This is my first visit,,,,,,,,,1,Unbranded Search,7 to 9,0,1,0,0,0,0,0,0
7/27/2014 15:34,United States,Virginia Beach,VA,1440x900,At Exit,,Buy from this site,,,,,Most or all of it,,,,,,,,,,,Yes,Parent,Never. This is my first visit,,,No,"Yes, several of them",5,,,,2,Unbranded Search,10+,1,1,1,1,0,0,0,0
7/27/2014 19:02,United States,Herndon,VA,768x1024,At Exit,Products,,Compare pricing,,,,Some of it,,,,,,,,,,,,Parent,In the past month,"Yes, once",In the past year,Somewhat,Not sure,3,,,,6,Self Referred,2 to 3,0,0,0,1,0,0,0,0
7/27/2014 21:46,United States,Hattiesburg,MS,768x1024,At Exit,Products,,,Resources,,,Some of it,,,,,,,,,,,,Teacher,In the past year,No,,,,,,,,2,Direct,2 to 3,0,0,1,0,0,0,0,0
7/27/2014 22:05,United States,Searcy,AR,1366x768,At Exit,,Buy from this site,,,,,Some of it,,,,,,,,,,,Partially (I was considering it),Parent,Never. This is my first visit,,,,,,,,,1,Unbranded Search,10+,0,1,0,0,0,0,0,0
7/28/2014 1:20,Philippines,,,1360x768,At Exit,,,,Resources,,,Some of it,Shipping costs,Fast delivery,Warranties/product guarantees,Ease of returning (if I am not satisfied with product),Product safety,Whether this is right for my child,Product durability/quality,Product effectiveness/will it work,,,,Parent,Never. This is my first visit,,,,,1,"Just now, from the website or survey",25-34,Female,1,Unbranded Search,4 to 6,0,0,0,0,0,0,0,0
