"margin","item","price"
24.231,"item1",498.99
4.447,"item10",54.99
0.431,"item100",2.19
-0.534,"item101",0.49
1.593,"item102",13.29
1.767,"item103",15.39
-0.745,"item104",3.09
1.493,"item105",13.89
2.247,"item106",24.59
-0.219,"item107",0.49
2.092,"item108",22.29
12.884,"item109",255.99
-0.524,"item11",0.49
2.309,"item110",25.49
1.409,"item111",12.79
1.831,"item112",20.79
4.038,"item113",61.99
0.373,"item115",2.39
9.607,"item116",196.99
-0.853,"item117",7.79
6.768,"item118",123.99
4.601,"item119",73.99
0.248,"item12",1.39
0.906,"item120",7.79
0.013,"item121",0.09
1.209,"item122",12.99
0.386,"item123",2.79
-0.029,"item124",0.09
5.098,"item125",94.39
-0.594,"item126",1.39
0.386,"item127",2.79
-0.016,"item129",0.09
0.734,"item13",6.49
6.99,"item130",143.99
15.696,"item131",453.99
2.623,"item132",41.89
6.09,"item133",131.99
0.412,"item134",3.29
7.413,"item135",170.99
-0.54,"item136",0.79
-0.346,"item137",0.49
0.021,"item138",0.09
0.736,"item139",7.19
0.822,"item14",8.29
0.344,"item140",2.59
-0.522,"item141",0.69
24.054,"item142",849
0.058,"item143",0.39
3.227,"item144",60.79
16.722,"item145",539
3.679,"item146",72.79
-0.29,"item147",0.69
4.712,"item148",101.99
0.774,"item149",8.39
-0.43,"item15",0.19
118.358,"item150",5879
-0.223,"item151",0.69
7.369,"item152",200.99
9.046,"item153",262.99
-0.299,"item154",0.69
3.142,"item155",63.49
-0.497,"item156",0.39
4.321,"item157",98.19
1.117,"item158",15.09
5.304,"item159",128.99
7.561,"item16",207.99
-0.467,"item160",0.09
0.886,"item161",10.89
0.981,"item162",12.59
-0.202,"item163",0.79
-0.033,"item164",0.19
-0.085,"item165",0.49
-0.024,"item166",0.09
5.064,"item167",130.99
5.279,"item168",138.99
0.161,"item169",1.29
-0.837,"item17",10.99
0.179,"item170",1.49
1.852,"item171",32.89
-0.509,"item173",0.59
9.514,"item174",301.99
2.48,"item175",49.29
0.216,"item176",1.89
1.565,"item177",25.99
3.896,"item178",98.39
2.055,"item179",40.69
0.078,"item18",0.59
0.408,"item180",4.39
9.112,"item181",305.99
-0.553,"item182",1.29
1.618,"item183",29.19
0.578,"item184",6.99
6.093,"item185",179.99
0.634,"item186",7.99
2.457,"item187",52.19
1.607,"item188",28.89
2.893,"item189",65.39
2.089,"item19",41.59
3.411,"item190",81.99
5.119,"item191",151.99
8.268,"item192",287.99
0.867,"item193",13.09
1.359,"item194",24.39
18.01,"item195",789
34.278,"item196",1759
-0.52,"item197",0.89
0.113,"item198",0.99
1.949,"item2",40.29
-0.825,"item20",11.59
2.666,"item200",62.29
2.053,"item201",43.39
7.068,"item202",233.99
-0.47,"item203",0.19
2.98,"item204",72.69
-0.415,"item205",0.29
4.718,"item206",144.99
1.362,"item207",25.99
0.599,"item208",8.39
4.565,"item209",137.99
-0.507,"item210",0.69
-0.322,"item211",0.89
0.963,"item212",16.09
-0.199,"item213",0.99
3.032,"item214",79.09
4.047,"item215",116.99
5.828,"item216",191.99
-0.924,"item217",23.89
0.91,"item218",14.79
6.657,"item219",228.99
1.193,"item22",21.59
58.525,"item220",3589
0.994,"item221",16.79
2.405,"item222",60.79
-0.455,"item223",0.19
-0.854,"item224",15.59
-0.246,"item225",1.09
-0.674,"item226",4.89
12.741,"item227",569
-0.871,"item228",17.39
-0.014,"item229",0.09
-0.63,"item23",3.39
5.954,"item230",208.99
0.64,"item231",9.69
-0.314,"item232",0.99
4.512,"item233",143.99
5.24,"item234",175.99
2.478,"item235",63.39
0.774,"item236",12.59
35.473,"item237",2059
0.132,"item238",1.29
18.177,"item239",939
0.206,"item24",2.39
1.783,"item240",42.29
-0.969,"item241",40.59
0.615,"item242",9.69
-0.631,"item243",3.69
3.571,"item244",110.99
15.976,"item245",799
-0.057,"item246",0.49
-0.276,"item247",1.09
2.246,"item248",58.29
-0.616,"item249",3.19
9.212,"item25",393.99
-0.897,"item250",21.99
-0.044,"item251",0.39
0.588,"item252",9.09
-0.442,"item253",0.09
0.345,"item254",4.49
-0.613,"item256",3.09
3.766,"item257",124.99
-0.43,"item258",0.29
1.202,"item259",25.69
0.422,"item26",6.19
10.355,"item260",482.99
-0.321,"item261",0.99
2.237,"item262",61.09
-0.714,"item263",7.19
11.476,"item264",549
0.657,"item265",11.19
0.621,"item266",10.29
0.123,"item267",1.39
6.844,"item269",279.99
93.678,"item27",7419
0.818,"item270",15.09
1.557,"item271",36.89
3.489,"item272",112.99
5.285,"item273",197.99
-0.784,"item274",11.19
0.952,"item275",18.59
-0.726,"item276",8.19
9.316,"item277",440.99
-0.253,"item278",1.29
8.672,"item279",401.99
-0.371,"item28",0.79
3.294,"item280",108.99
1.952,"item281",52.99
4.861,"item282",185.99
-0.465,"item283",0.19
5.629,"item284",225.99
-0.607,"item285",3.29
3.043,"item286",98.19
6.704,"item287",285.99
1.305,"item288",30.29
11.07,"item289",549
0.581,"item29",9.89
0.898,"item290",17.99
-0.434,"item291",0.19
-0.551,"item292",1.79
-0.301,"item293",1.19
1.655,"item294",42.09
0.428,"item295",6.89
2.624,"item297",83.79
15.267,"item298",879
-0.04,"item299",0.39
1.859,"item3",51.89
3.098,"item30",104.99
4.558,"item300",178.99
9.296,"item301",460.99
1.406,"item302",35.19
3.785,"item303",138.99
0.874,"item304",18.19
6.465,"item305",285.99
-0.884,"item306",23.19
0.305,"item307",4.49
35.015,"item308",2479
1.851,"item309",51.59
-0.891,"item31",24.39
5.526,"item310",230.99
6.162,"item311",267.99
1.073,"item312",24.09
10.947,"item313",569
-0.228,"item314",1.29
0.332,"item315",5.19
6.274,"item316",286.99
0.849,"item317",18.19
1.821,"item318",52.69
2.816,"item319",96.59
2.588,"item32",85.99
22.785,"item320",1519
-0.309,"item321",1.29
1.104,"item322",26.19
-0.196,"item323",1.29
3.346,"item324",121.99
-0.923,"item325",32.09
0.998,"item326",22.79
-0.696,"item327",7.29
5.936,"item328",265.99
1.405,"item329",36.69
-0.806,"item33",14.79
0.724,"item330",14.69
5.342,"item331",230.99
-0.095,"item332",0.79
-0.58,"item333",2.79
0.003,"item334",0.19
0.252,"item335",3.69
11.538,"item336",669
-0.641,"item337",4.99
3.445,"item338",132.99
0.956,"item339",22.39
0.577,"item34",11.19
4.399,"item340",185.99
0.242,"item341",3.69
1.174,"item342",29.79
-0.947,"item343",40.79
-0.491,"item344",0.69
0.457,"item345",8.19
0.015,"item346",0.19
18.36,"item347",1209
-0.276,"item348",1.39
1.742,"item349",51.69
-0.763,"item35",11.79
-0.604,"item350",3.69
0.563,"item351",10.89
-0.498,"item352",0.79
2.125,"item353",68.19
2.024,"item354",63.79
0.329,"item355",5.39
0.062,"item356",0.79
3.266,"item357",123.99
0.844,"item358",19.69
2.906,"item359",109.99
47.384,"item36",4079
2.212,"item360",75.19
0.004,"item361",0.19
0.993,"item362",24.59
-0.113,"item363",0.99
3.028,"item364",115.99
37.667,"item365",3079
26.104,"item366",1959
-0.228,"item367",1.49
3.994,"item368",169.99
1.472,"item369",42.59
16.132,"item37",1069
-0.935,"item370",38.29
1.495,"item371",43.49
2.242,"item372",76.59
2.576,"item373",92.79
-0.208,"item374",1.49
0.414,"item375",7.49
25.259,"item376",1879
2.592,"item377",93.69
0.1,"item378",1.29
2.75,"item379",101.99
11.312,"item38",679
0.384,"item380",7.09
3.597,"item381",152.99
0.296,"item382",5.09
0.715,"item383",16.29
10.18,"item384",609
0.81,"item385",19.29
12.171,"item386",769
3.717,"item387",159.99
6.674,"item388",351.99
-0.829,"item389",19.29
1.462,"item39",43.89
2.477,"item390",91.49
1.09,"item391",29.19
0.605,"item392",12.99
2.023,"item393",68.99
16.937,"item394",1179
-0.02,"item395",0.19
52.305,"item396",4789
0.85,"item397",20.69
0.253,"item398",4.19
0.117,"item399",1.69
4.91,"item4",232.99
5.724,"item40",286.99
2.58,"item400",96.79
4.873,"item401",230.99
7.961,"item402",444.99
106.589,"item403",11679
-0.698,"item404",8.69
5.291,"item405",267.99
-0.592,"item407",3.59
3.228,"item408",136.99
2.622,"item409",102.99
-0.396,"item41",0.79
5.624,"item410",290.99
-0.104,"item411",1.09
-0.809,"item412",17.69
1.696,"item413",56.09
0.337,"item414",6.19
-0.61,"item415",4.29
-0.8,"item416",16.79
-0.673,"item417",7.19
3.017,"item418",124.99
-0.437,"item419",0.19
0.044,"item42",0.59
0.098,"item420",1.39
-0.505,"item421",1.09
2.465,"item422",94.29
18.372,"item423",1359
6.203,"item424",331.99
0.466,"item425",9.49
0.698,"item426",16.39
3.576,"item427",156.99
0.562,"item428",12.19
10.643,"item429",699
-0.696,"item43",8.89
-0.509,"item430",1.19
13.398,"item431",939
2.11,"item432",78.79
32.445,"item433",2869
-0.764,"item434",13.89
